Date,Product,Category,Region,Sales,Quantity,Profit,Discount
2023-01-01,Widget D,Clothing,West,748.29,48,176.57,0.21
2023-01-02,Widget A,Electronics,North,1291.05,50,373.76,0.16
2023-01-03,Widget B,Electronics,West,3995.6,3,1113.54,0.2
2023-01-04,Widget E,Electronics,East,4246.25,31,1262.49,0.09
2023-01-05,Widget D,Clothing,South,3467.14,18,385.71,0.14
2023-01-06,Widget D,Electronics,North,2090.06,37,276.24,0.12
2023-01-07,Widget E,Electronics,North,1665.88,21,428.16,0.22
2023-01-08,Widget E,Electronics,South,1095.94,43,116.19,0.06
2023-01-09,Widget E,Home Appliances,North,4399.22,6,605.71,0.18
2023-01-10,Widget A,Electronics,East,4930.48,36,518.9,0.25
2023-01-11,Widget D,Electronics,East,1818.9,38,298.58,0.2
2023-01-12,Widget A,Clothing,West,2557.32,14,594.72,0.16
2023-01-13,Widget E,Electronics,West,4865.24,2,590.38,0.13
2023-01-14,Widget E,Home Appliances,West,1923.28,42,348.65,0.12
2023-01-15,Widget E,Home Appliances,South,1803.21,27,255.5,0.18
2023-01-16,Widget C,Clothing,North,2163.28,39,551.3,0.16
2023-01-17,Widget B,Electronics,West,3727.71,30,463.86,0.12
2023-01-18,Widget D,Electronics,East,4975.24,24,1047.51,0.22
2023-01-19,Widget D,Home Appliances,South,2434.06,12,502.42,0.22
2023-01-20,Widget A,Electronics,North,707.04,32,76.79,0.06
2023-01-21,Widget D,Clothing,West,4974.97,41,720.74,0.19
2023-01-22,Widget E,Home Appliances,North,3740.4,19,499.65,0.2
2023-01-23,Widget D,Electronics,West,4118.84,9,541.02,0.06
2023-01-24,Widget C,Clothing,East,2904.71,35,795.18,0.08
2023-01-25,Widget C,Electronics,South,2570.47,46,742.52,0.15
2023-01-26,Widget B,Electronics,South,2388.57,36,376.27,0.11
2023-01-27,Widget D,Home Appliances,South,343.02,5,69.86,0.02
2023-01-28,Widget A,Home Appliances,North,2974.38,24,552.54,0.24
2023-01-29,Widget A,Electronics,North,2028.5,35,444.92,0.02
2023-01-30,Widget B,Home Appliances,West,3992.15,48,1015.21,0.21
2023-01-31,Widget D,Home Appliances,West,1034.73,38,206.37,0.06
2023-02-01,Widget C,Home Appliances,West,209.63,18,23.36,0.04
2023-02-02,Widget D,Clothing,North,2399.61,32,537.74,0.25
2023-02-03,Widget D,Home Appliances,North,2096.23,9,296.88,0.1
2023-02-04,Widget B,Home Appliances,South,466.7,3,89.41,0.23
2023-02-05,Widget C,Clothing,East,2144.57,12,485.59,0.13
2023-02-06,Widget C,Clothing,South,279.1,45,58.54,0.05
2023-02-07,Widget A,Clothing,North,869.54,10,257.09,0.19
2023-02-08,Widget A,Home Appliances,West,2313.3,28,590.02,0.01
2023-02-09,Widget D,Clothing,East,372.17,27,88.72,0.12
2023-02-10,Widget C,Home Appliances,South,823.12,25,194.95,0.07
2023-02-11,Widget B,Electronics,South,651.43,35,191.75,0.12
2023-02-12,Widget C,Home Appliances,South,587.75,50,142.83,0.19
2023-02-13,Widget E,Home Appliances,South,4467.42,16,1231.96,0.16
2023-02-14,Widget B,Electronics,South,102.06,29,15.29,0.01
2023-02-15,Widget C,Home Appliances,South,4545.98,47,665.71,0.05
2023-02-16,Widget B,Clothing,West,4114.66,38,954.02,0.04
2023-02-17,Widget D,Clothing,West,3260.65,46,690.93,0.0
2023-02-18,Widget A,Home Appliances,West,2137.87,6,609.17,0.24
2023-02-19,Widget E,Electronics,North,4364.6,13,604.41,0.18
2023-02-20,Widget B,Electronics,West,4960.27,21,1054.35,0.04
2023-02-21,Widget A,Electronics,South,978.0,4,210.71,0.18
2023-02-22,Widget E,Clothing,South,3294.71,19,708.8,0.08
2023-02-23,Widget E,Clothing,East,4370.11,42,991.53,0.16
2023-02-24,Widget C,Electronics,West,2686.65,46,698.48,0.03
2023-02-25,Widget C,Electronics,South,1865.09,23,547.09,0.15
2023-02-26,Widget C,Clothing,East,2362.82,9,493.79,0.09
2023-02-27,Widget D,Electronics,West,2470.66,5,465.65,0.21
2023-02-28,Widget B,Home Appliances,West,4686.72,33,1137.41,0.19
2023-03-01,Widget A,Electronics,East,4959.38,47,858.29,0.06
2023-03-02,Widget B,Electronics,South,3256.49,32,351.66,0.17
2023-03-03,Widget D,Home Appliances,West,3078.49,25,689.23,0.09
2023-03-04,Widget E,Electronics,North,1726.59,11,285.68,0.19
2023-03-05,Widget C,Electronics,South,3603.38,48,498.78,0.01
2023-03-06,Widget E,Electronics,East,2808.32,15,526.59,0.21
2023-03-07,Widget B,Home Appliances,South,4348.42,20,676.54,0.19
2023-03-08,Widget A,Home Appliances,North,3928.18,29,555.04,0.25
2023-03-09,Widget D,Home Appliances,East,3967.98,22,443.44,0.17
2023-03-10,Widget D,Home Appliances,West,3487.74,35,821.22,0.0
2023-03-11,Widget D,Home Appliances,South,2513.93,40,482.65,0.2
2023-03-12,Widget D,Home Appliances,East,3972.11,33,926.52,0.17
2023-03-13,Widget C,Home Appliances,West,2632.3,34,264.47,0.19
2023-03-14,Widget A,Home Appliances,West,234.0,8,27.09,0.19
2023-03-15,Widget B,Electronics,South,3676.29,18,641.54,0.15
2023-03-16,Widget A,Clothing,South,1849.41,19,288.67,0.08
2023-03-17,Widget C,Electronics,East,176.09,3,51.79,0.06
2023-03-18,Widget C,Home Appliances,West,818.27,11,217.87,0.06
2023-03-19,Widget A,Clothing,East,2648.12,43,784.43,0.01
2023-03-20,Widget D,Home Appliances,South,3892.75,7,567.53,0.11
2023-03-21,Widget C,Clothing,South,815.96,5,120.63,0.2
2023-03-22,Widget B,Clothing,West,4051.06,14,495.23,0.2
2023-03-23,Widget D,Home Appliances,West,1933.68,34,219.95,0.1
2023-03-24,Widget C,Clothing,South,2284.95,19,573.78,0.18
2023-03-25,Widget C,Electronics,South,1821.14,3,348.39,0.23
2023-03-26,Widget E,Home Appliances,East,2709.46,32,400.77,0.03
2023-03-27,Widget D,Clothing,East,3447.06,22,767.5,0.08
2023-03-28,Widget E,Electronics,West,2895.01,1,349.44,0.07
2023-03-29,Widget B,Electronics,South,4955.11,44,1343.82,0.21
2023-03-30,Widget E,Home Appliances,South,520.71,28,69.63,0.03
2023-03-31,Widget C,Home Appliances,South,1409.87,43,218.83,0.13
2023-04-01,Widget E,Clothing,East,3119.49,19,764.11,0.1
2023-04-02,Widget C,Electronics,East,4648.36,35,1323.45,0.04
2023-04-03,Widget B,Home Appliances,West,831.72,24,144.57,0.17
2023-04-04,Widget E,Clothing,East,1010.17,39,277.95,0.13
2023-04-05,Widget B,Electronics,South,4827.86,47,735.36,0.08
2023-04-06,Widget E,Electronics,North,3305.4,38,748.65,0.07
2023-04-07,Widget E,Clothing,South,586.48,47,127.86,0.19
2023-04-08,Widget E,Electronics,North,1980.81,17,479.29,0.09
2023-04-09,Widget A,Clothing,East,3922.55,12,810.28,0.11
2023-04-10,Widget E,Home Appliances,South,2484.88,14,265.53,0.09
2023-04-11,Widget A,Clothing,East,2691.21,40,316.31,0.07
2023-04-12,Widget E,Clothing,West,1370.76,49,257.21,0.09
2023-04-13,Widget A,Home Appliances,South,4212.28,39,1191.83,0.04
2023-04-14,Widget C,Electronics,South,4480.4,5,1002.95,0.12
2023-04-15,Widget B,Home Appliances,East,3929.89,14,840.33,0.12
2023-04-16,Widget E,Clothing,West,3613.73,6,972.55,0.2
2023-04-17,Widget D,Home Appliances,South,4918.19,49,1464.53,0.17
2023-04-18,Widget B,Clothing,North,1931.05,26,518.9,0.13
2023-04-19,Widget B,Electronics,South,2704.16,7,624.6,0.1
2023-04-20,Widget B,Clothing,West,2296.4,28,279.17,0.22
2023-04-21,Widget C,Clothing,North,2760.1,15,750.39,0.04
2023-04-22,Widget A,Home Appliances,South,998.37,37,253.5,0.04
2023-04-23,Widget E,Home Appliances,North,4615.63,35,999.04,0.17
2023-04-24,Widget A,Electronics,West,3992.59,50,925.25,0.2
2023-04-25,Widget B,Clothing,East,590.68,32,111.03,0.05
2023-04-26,Widget D,Home Appliances,East,3905.31,39,1095.54,0.17
2023-04-27,Widget D,Clothing,North,1360.55,32,219.08,0.09
2023-04-28,Widget A,Clothing,East,1642.44,5,213.9,0.0
2023-04-29,Widget E,Electronics,West,2650.63,27,691.23,0.2
2023-04-30,Widget D,Clothing,East,4700.62,3,712.82,0.14
2023-05-01,Widget C,Home Appliances,East,1780.56,37,409.33,0.2
2023-05-02,Widget A,Home Appliances,East,1184.56,39,124.94,0.2
2023-05-03,Widget B,Home Appliances,South,2315.48,5,560.18,0.07
2023-05-04,Widget D,Clothing,South,290.72,45,86.33,0.22
2023-05-05,Widget D,Home Appliances,West,3761.52,4,893.54,0.25
2023-05-06,Widget D,Home Appliances,East,2977.99,15,788.35,0.14
2023-05-07,Widget C,Electronics,South,1385.81,13,390.25,0.25
2023-05-08,Widget D,Home Appliances,South,3368.81,48,951.44,0.05
2023-05-09,Widget B,Home Appliances,South,2160.23,29,256.25,0.01
2023-05-10,Widget D,Electronics,North,2286.79,12,251.3,0.14
2023-05-11,Widget D,Electronics,West,347.3,47,98.97,0.16
2023-05-12,Widget D,Clothing,South,2834.53,17,682.74,0.24
2023-05-13,Widget A,Electronics,West,883.81,11,259.23,0.12
2023-05-14,Widget A,Home Appliances,South,855.27,17,107.27,0.07
2023-05-15,Widget E,Electronics,South,2338.84,29,392.3,0.14
2023-05-16,Widget A,Electronics,West,1066.23,36,128.53,0.15
2023-05-17,Widget B,Clothing,South,622.74,33,84.86,0.19
2023-05-18,Widget C,Clothing,North,1869.59,2,308.49,0.11
2023-05-19,Widget E,Electronics,North,333.9,14,95.22,0.23
2023-05-20,Widget C,Home Appliances,West,2466.7,26,391.46,0.09
2023-05-21,Widget E,Electronics,West,2557.64,46,522.53,0.19
2023-05-22,Widget E,Clothing,North,715.39,21,210.58,0.11
